region,nbrecas
dakar,8777
thies,2255
diourbel,1014
kaolack,1007
saint-louis,937
louga,656
fatick,552
ziguinchor,340
kedougou,273
kolda,230
matam,214
tambacounda,162
kaffrine,108
sedhiou,41
