region,nbrecas
kaolack,0
kaffrine,0
ziguinchor,0
fatick,0
thies,0
diourbel,0
tambacounda,0
dakar,0
sedhiou,0
saint-louis,0
matam,0
louga,0
kolda,0
kedougou,0
