region,nbrecas
dakar,1067
diourbel,200
thies,156
ziguinchor,57
saint-louis,49
kaolack,38
fatick,26
kolda,13
kedougou,10
matam,7
tambacounda,6
kaffrine,5
sedhiou,5
louga,3
